date,value,target
26.12.2021 20:30,50280.70,0
26.12.2021 20:15,50287.24,0
26.12.2021 20:00,50333.03,1
26.12.2021 19:45,50327.91,1
26.12.2021 19:30,50319.01,1
26.12.2021 19:15,50260.00,0
26.12.2021 19:00,50357.98,1
26.12.2021 18:45,50217.87,0
26.12.2021 18:30,50221.42,1
26.12.2021 18:15,50191.08,0
26.12.2021 18:00,50229.82,0
26.12.2021 17:45,50333.72,1
26.12.2021 17:30,50257.96,1
26.12.2021 17:15,50237.39,0
26.12.2021 17:00,50274.59,0
26.12.2021 16:45,50350.78,1
26.12.2021 16:30,50162.43,1
26.12.2021 16:15,50039.03,0
26.12.2021 16:00,50076.39,0
26.12.2021 15:45,50093.12,0
26.12.2021 15:30,50116.35,1
26.12.2021 15:15,49927.47,1
26.12.2021 15:00,49911.43,1
26.12.2021 14:45,49791.23,1
26.12.2021 14:30,49764.53,0
26.12.2021 14:15,49797.77,0
26.12.2021 14:00,49839.91,1
26.12.2021 13:45,49839.33,1
26.12.2021 13:30,49830.17,0
26.12.2021 13:15,49906.38,1
26.12.2021 13:00,49862.15,1
26.12.2021 12:45,49804.64,1
26.12.2021 12:30,49747.30,0
26.12.2021 12:15,49767.73,1
26.12.2021 12:00,49646.32,0
26.12.2021 11:45,49810.00,0
26.12.2021 11:30,50025.28,0
26.12.2021 11:15,50032.36,0
26.12.2021 11:00,50060.01,1
26.12.2021 10:45,50015.16,1
26.12.2021 10:30,50002.65,1
26.12.2021 10:15,49951.19,0
26.12.2021 10:00,50000.02,1
26.12.2021 09:45,49965.42,1
26.12.2021 09:30,49886.75,1
26.12.2021 09:15,49867.16,1
26.12.2021 09:00,49865.36,0
26.12.2021 08:45,49888.86,0
26.12.2021 08:30,49995.65,0
26.12.2021 08:15,50010.76,1
26.12.2021 08:00,49877.24,1
26.12.2021 07:45,49863.06,1
26.12.2021 07:30,49840.01,1
26.12.2021 07:15,49795.04,0
26.12.2021 07:00,49860.10,0
26.12.2021 06:45,49870.35,1
26.12.2021 06:30,49863.99,0
26.12.2021 06:15,49870.95,1
26.12.2021 06:00,49828.00,0
26.12.2021 05:45,49903.39,1
26.12.2021 05:30,49891.01,1
26.12.2021 05:15,49865.99,1
26.12.2021 05:00,49800.00,0
26.12.2021 04:45,49800.49,1
26.12.2021 04:30,49723.82,0
26.12.2021 04:15,49856.70,1
26.12.2021 04:00,49631.50,0
26.12.2021 03:45,49667.02,0
26.12.2021 03:30,49988.07,1
26.12.2021 03:15,49793.63,0
26.12.2021 03:00,50007.99,0
26.12.2021 02:45,50059.65,0
26.12.2021 02:30,50341.17,0
26.12.2021 02:15,50491.58,0
26.12.2021 02:00,50546.14,0
26.12.2021 01:45,50604.07,1
26.12.2021 01:30,50368.25,0
26.12.2021 01:15,50448.04,1
26.12.2021 01:00,50350.00,1
26.12.2021 00:45,50329.25,0
26.12.2021 00:30,50548.03,1
26.12.2021 00:15,50407.29,1
26.12.2021 00:00,50363.36,0
25.12.2021 23:45,50661.85,1
25.12.2021 23:30,50521.02,0
25.12.2021 23:15,50600.60,1
25.12.2021 23:00,50570.01,0
25.12.2021 22:45,50678.13,0
25.12.2021 22:30,50680.01,0
25.12.2021 22:15,50882.36,0
25.12.2021 22:00,50965.00,0
25.12.2021 21:45,51055.09,1
25.12.2021 21:30,50991.92,1
25.12.2021 21:15,50933.47,1
25.12.2021 21:00,50900.00,1
25.12.2021 20:45,50832.01,0
25.12.2021 20:30,50850.00,0
25.12.2021 20:15,50913.72,1
25.12.2021 20:00,50908.84,1
25.12.2021 19:45,50857.23,1
25.12.2021 19:30,50853.71,0
25.12.2021 19:15,50912.30,0
25.12.2021 19:00,51007.15,1
25.12.2021 18:45,50929.62,0
25.12.2021 18:30,51029.87,1
25.12.2021 18:15,50848.99,1
25.12.2021 18:00,50750.03,1
25.12.2021 17:45,50428.65,1
25.12.2021 17:30,50252.00,0
25.12.2021 17:15,50625.77,0
25.12.2021 17:00,50635.17,1
25.12.2021 16:45,50578.70,0
25.12.2021 16:30,50732.68,1
25.12.2021 16:15,50600.70,0
25.12.2021 16:00,50682.06,0
25.12.2021 15:45,50749.64,0
25.12.2021 15:30,50796.86,1
25.12.2021 15:15,50714.97,1
25.12.2021 15:00,50710.85,1
25.12.2021 14:45,50707.27,0
25.12.2021 14:30,50720.00,0
25.12.2021 14:15,50726.52,0
25.12.2021 14:00,50830.99,1
25.12.2021 13:45,50817.82,1
25.12.2021 13:30,50742.01,0
25.12.2021 13:15,50758.30,0
25.12.2021 13:00,50783.69,0
25.12.2021 12:45,50834.20,0
25.12.2021 12:30,50885.50,1
25.12.2021 12:15,50718.76,1
25.12.2021 12:00,50709.60,1
25.12.2021 11:45,50673.02,0
25.12.2021 11:30,50694.64,0
25.12.2021 11:15,50764.99,1
25.12.2021 11:00,50596.91,0
